,titles,targets,dates
115,비대면 생태문화 페스티벌 <가을 On도>,프로그램별 참여대상 별도 안내,2021.09.13-2021.09.26
116,영도문화도시센터 개소 1주년 이벤트,영도 문화도시와 함께한 1년의 추억을 가진 누구나,
117,프리뷰 ‘식물오감’,,2021.09.01-2021.09.15
118,디자인 잇기,영도구 소재 소상공인 및 문화단체,2021.08.16-2021.09.06
119,영도 기획자의 집 – 아카이브 기획자 과정,영도의 기록을 정리하고 아카이빙하고 싶은 10명,2021.07.15-2021.07.29
120,2021 여름 창의예술학교,영도구 거주 8세 ~ 16세 아동·청소년,2021.07.14-2021.08.02
121,그린라이트 영도,누구나,
122,봉래동 2X4시간,소수의 영도 예술인,2021.07.01-2021.07.29
123,문화로 만드는 ‘마을상상’,"영도구 주민자치단체(11개)
(지방분권 및 지방행정체제개편에 관한 특별법 제27조에 따른 주민자치회)",2021.07.12-2021.07.29
124,해보자! 문화실험실,"영도구에 거주하거나 활동 중인 최소 3인 이상의 육아, 교육, 외로움, 환경 등 지역사회 문제를 재미있게 시도하는 10팀 내외",2021.06.11-2021.06.25
125,문화동아리 <유쾌한 문화작당>,영도구에 거주하거나 활동 중인 3인 이상 구성으로 문화를 즐기고 배우며 교류하는 취미·취향 모임,2021.06.11-2021.06.25
126,연결포럼 6회차 <문화예술을 활용한 사회적 고립 완화 방안>,누구나,
127,2021 영도기획자의 집,문화기획자를 꿈꾸는 누구나,2021.05.24-2021.06.11
128,영도 디톡스 위크,영도에서 활동하는 시민 누구나,
129,2021 영도 문화도시 연결 포럼,2021.04.12-2021.04.18,~ 2021.04.11
130,2021 지역문화 활동가 지원사업,지역문화 활동 단체(사업자 등록증 또는 고유번호증 보유 단체),2021.03.15-2021.03.29
131,끄떡없는 여행,장애인과 장애인 가족,2021.02.17-2021.03.1
132,주민참여 공모전 – 원라인 영도,영도 거주 누구나,2021.02.03-2021.02.23
133,봉산으로 On 사람들,일반 시민,
134,영도 소리기록단,소리 기록에 관심있는 2030세대,
135,섬-선-면 프로젝트,영도에서 작은 문화공간을 운영하고 있는 공간 운영자 및 공간 특색에 맞는 문화 프로그램에 관심 있는 이,
136,유쾌한 문화작당 20′,"- 영도구에 거주하거나 활동하는 최소 3인 이상으로 구성된 모임
- 문화를 배우고, 즐기고 주변 사람들에게 나눌 수 있는 모임
- 문화를 통해 지역사회의 변화를 만들어가는 모임
- 지역에서 문화예술을 즐겨보고 싶은 모임",~ 2020.10.28
137,깡깡이 유람선,만12세 미만은 동반자가 동반하에 탑승 가능,상시
138,2019 매거진 <다리 너머 영도> 창간파티,누구나,-
139,영도이야기 – 디스커버리총서 1 타향에서 고향으로 북토크,누구나,-
